video_name,model,gpu time,frame rate,f1
motorway_0,faster_rcnn_resnet101,0.18812019903036728,0.18812019903036728,0.9207890370552448
motorway_1,faster_rcnn_resnet101,0.19055661039289018,0.19055661039289018,0.9091746641074857
motorway_2,faster_rcnn_resnet101,0.18864438220595825,0.18864438220595825,0.9221508175384365
motorway_3,faster_rcnn_resnet101,0.1897021472448868,0.18970214724488677,0.9140049140049141
motorway_4,faster_rcnn_resnet101,0.1885658665708443,0.1885658665708443,0.9173620457604307
motorway_5,faster_rcnn_resnet101,0.18431813560303542,0.18431813560303545,0.9242507477263016
motorway_6,faster_rcnn_resnet101,0.19096938342682762,0.19096938342682765,0.9164921100404971
motorway_7,faster_rcnn_resnet101,0.18261972698240073,0.18261972698240073,0.9228274578103417
motorway_8,faster_rcnn_resnet101,0.18690082841105407,0.18690082841105404,0.9236029238387173
motorway_9,faster_rcnn_resnet101,0.18007495546273825,0.18007495546273825,0.9317601773984353
motorway_10,faster_rcnn_resnet101,0.18061364875524463,0.18061364875524463,0.9424619776541813
motorway_11,faster_rcnn_resnet101,0.1896941632784054,0.1896941632784054,0.9239672474296619
motorway_12,faster_rcnn_resnet101,0.19287214364589347,0.19287214364589347,0.9175160847249332
motorway_13,faster_rcnn_resnet101,0.18431784441777307,0.1843178444177731,0.9234042553191489
motorway_14,faster_rcnn_resnet101,0.19124205596347266,0.19124205596347266,0.9153318077803203
motorway_15,faster_rcnn_resnet101,0.19198248670639403,0.19198248670639403,0.915095739943595
motorway_16,faster_rcnn_resnet101,0.18932102959485878,0.18932102959485878,0.9151168680801796
motorway_17,faster_rcnn_resnet101,0.18715143195982947,0.18715143195982945,0.9232372777437156
motorway_18,faster_rcnn_resnet101,0.1791493834517306,0.1791493834517306,0.9422038377570953
