Video_name,object count median,object count avg,object count mode,object count var,object count std,object count skewness,object count kurtosis,object count second_moment,object count percentile10,object count percentile25,object count percentile75,object count percentile90,object count iqr,object count entropy,object area median,object area avg,object area mode,object area var,object area std,object area skewness,object area kurtosis,object area second_moment,object area percentile10,object area percentile25,object area percentile75,object area percentile90,object area iqr,object area entropy,arrival rate median,arrival rate avg,arrival rate mode,arrival rate var,arrival rate std,arrival rate skewness,arrival rate kurtosis,arrival rate second_moment,arrival rate percentile10,arrival rate percentile25,arrival rate percentile75,arrival rate percentile90,arrival rate iqr,arrival rate entropy,velocity median,velocity avg,velocity mode,velocity var,velocity std,velocity skewness,velocity kurtosis,velocity second_moment,velocity percentile10,velocity percentile25,velocity percentile75,velocity percentile90,velocity iqr,velocity entropy,total area median,total area avg,total area mode,total area var,total area std,total area skewness,total area kurtosis,total area second_moment,total area percentile10,total area percentile25,total area percentile75,total area percentile90,total area iqr,total area entropy,percent_of_frame_w_object,percent_of_frame_w_new_object,nb_distinct_classes
highway_0,3.0,2.969333333333333,3,1.2217262222222223,1.105317249581414,0.26196851168873453,0.00892513039318965,1.2217262222222223,2.0,2.0,4.0,4.0,2.0,6.547234228464484,0.00890625,0.010358304839906702,0.004117838541666667,3.103822178097206e-05,0.00557119572273063,0.8125173700224881,-0.2222636730831895,3.103822178097206e-05,0.004417317708333333,0.005626085069444444,0.014275716145833332,0.018724826388888893,0.008649631076388888,7.570952517411618,2.0,2.396,3,1.7351839999999998,1.3172638308250932,0.25222185854632884,-0.4513619022854831,1.7351839999999998,1.0,1.0,3.0,4.0,2.0,6.445676061416439,1.8743922018348624,2.2954476439234686,1.6341463414634148,1.0061294077470961,1.003060022006209,1.9111280559219102,4.204798100284255,1.0061294077470961,1.521754572106659,1.6561874275435777,2.641007326007326,3.7589248127345005,0.9848198984637484,7.515396310859096,0.026956922743055556,0.02981802662037037,0.0,0.00020151744771803034,0.014195684122930825,0.5169593269096499,-0.11886091786303288,0.00020151744771803034,0.012972005208333333,0.02032253689236111,0.039775390625000004,0.049666666666666665,0.019452853732638893,6.503434000515822,0.996,0.08666666666666667,1
highway_1,4.0,3.929333333333333,3,2.3696728888888887,1.5393741874180198,0.29827647320523726,-0.6601283345860964,2.3696728888888887,2.0,3.0,5.0,6.0,2.0,6.541766197537802,0.008678385416666667,0.010451534325750291,0.0045073784722222225,3.6319721965382974e-05,0.006026584602026506,1.2140051079497274,1.9042916725602312,3.6319721965382974e-05,0.004373697916666667,0.005559895833333333,0.014098849826388888,0.018984809027777785,0.008538953993055555,7.836819170432477,3.0,2.6613333333333333,3,1.9359715555555552,1.391391948932994,0.2001428511967408,-0.32454541509218604,1.9359715555555552,1.0,2.0,4.0,4.0,2.0,6.4616296221541045,1.8896006934599043,2.3415174851257463,1.7599999999999998,0.9570196604499009,0.9782738167046591,1.3204112702999773,1.244669974720141,0.9570196604499009,1.4876942355889726,1.6404543498036337,2.9605416513311247,3.8123762771392085,1.320087301527491,7.811874250933066,0.037432725694444446,0.039885759548611115,0.015953776041666666,0.0003587714270799864,0.018941262552427344,0.4361902986182184,-0.42583644209364335,0.0003587714270799864,0.016109049479166665,0.02615451388888889,0.05334879557291666,0.0668564453125,0.027194281684027773,6.504356980438452,1.0,0.10533333333333333,1
highway_2,4.0,3.924,3,1.9368906666666665,1.3917221945009954,0.2871516937451452,-0.7441777692668587,1.9368906666666665,2.0,3.0,5.0,6.0,2.0,6.556339558521277,0.008747829861111112,0.010558320768207044,0.0037239583333333335,4.826591487396583e-05,0.006947367477970762,5.182793689497143,75.62423158039621,4.826591487396583e-05,0.0043023003472222225,0.005545789930555555,0.014312608506944444,0.019115234375000005,0.008766818576388889,7.821017326200488,3.0,2.8733333333333335,2,2.542622222222222,1.594560197114622,0.9060759961954942,0.8532388656387826,2.542622222222222,1.0,2.0,4.0,5.0,2.0,6.4678490989872826,1.8410101010101012,2.294735043983343,1.3666666666666667,0.986363440458215,0.9931583159085036,1.2616243430901073,0.7414233298665991,0.986363440458215,1.429531624812867,1.5766502941297462,2.899117176129076,3.8440723400400323,1.32246688199933,7.807649006530345,0.03697374131944445,0.04032729166666667,0.02195529513888889,0.0003669826372946154,0.019156790892386318,1.5112681173077318,5.399685532504597,0.0003669826372946154,0.01923470052083333,0.026898871527777778,0.04972873263888889,0.06577387152777778,0.022829861111111113,6.516493508207842,1.0,0.10933333333333334,1
highway_3,4.0,4.612,4,1.3974559999999998,1.182140431590088,0.31540753638652647,-0.2964414924001515,1.3974559999999998,3.0,4.0,5.0,6.0,1.0,6.587133324987943,0.008741319444444444,0.010327382296786161,0.004289279513888889,3.199865269375671e-05,0.005656735162066252,0.8935423044684238,-0.02130363273271918,3.199865269375671e-05,0.004428168402777778,0.005545789930555555,0.014034288194444446,0.018824652777777787,0.00848849826388889,8.007815937827761,2.0,1.964,2,1.2747039999999998,1.1290279004524202,0.12070423772604413,-0.48219832171684285,1.2747039999999998,0.0,1.0,3.0,4.0,2.0,6.413449612870942,1.3477789815817984,1.78237931505351,1.0303030303030303,1.297236305324933,1.138962819992353,2.615749712387181,7.180446801098169,1.297236305324933,1.144930477429981,1.2237378993623418,1.557539331757104,3.5671428571428567,0.33380143239476223,7.9327484799758246,0.04449978298611111,0.04627858940972222,0.040020616319444445,0.00027700818497484623,0.016643562869014743,0.7179336121534238,0.5719471052697274,0.00027700818497484623,0.027240776909722222,0.03429090711805556,0.054673394097222223,0.06989561631944444,0.020382486979166663,6.556870739384062,1.0,0.08,1
highway_4,6.0,6.294666666666667,7,2.3438382222222223,1.5309599022254705,-0.23935190034934814,-0.7969947986692905,2.3438382222222223,4.0,5.0,7.0,8.0,2.0,6.589174858461094,0.009889322916666667,0.010821760255227823,0.007800564236111111,5.755354281297649e-05,0.00758640513108656,8.541129821360046,123.77503909372075,5.755354281297649e-05,0.004845920138888889,0.0066536458333333335,0.012864583333333334,0.017565104166666668,0.0062109375,8.309987647176905,2.0,2.001333333333333,1,2.054664888888889,1.4334102304954046,1.3014884323904043,2.3709363063724,2.054664888888889,1.0,1.0,3.0,4.0,2.0,6.361396128907883,1.1253828874821319,1.5387799573973608,1.0,1.0138131554335255,1.0068828906250844,2.5334996727769226,6.601520496941136,1.0138131554335255,1.023809523809524,1.057784911717496,1.281982421875,3.2056204718592394,0.224197510157504,8.253147868630709,0.0640087890625,0.06616671440972222,0.04555447048611111,0.00048762654521667103,0.02208226766472753,2.6211307701699065,13.075557136620603,0.00048762654521667103,0.043568359375,0.05185980902777778,0.07697591145833332,0.08723719618055556,0.025116102430555544,6.5721982868831414,1.0,0.08266666666666667,1
highway_5,4.0,4.425333333333334,4,1.4204248888888888,1.191815794864663,0.40636242707964476,0.3903606690569199,1.4204248888888888,3.0,4.0,5.0,6.0,1.0,6.583660081390373,0.01001953125,0.010522896894144823,0.011378038194444445,2.8462632626623826e-05,0.0053350382029207465,1.0929453528131583,1.7806260817570196,2.8462632626623826e-05,0.004451171875,0.006161024305555556,0.012890625,0.017972222222222226,0.0067296006944444434,7.986814004480162,2.0,1.7693333333333334,2,1.3214595555555555,1.1495475438430354,0.04743425292044826,-0.8236553608948638,1.3214595555555555,0.0,1.0,3.0,3.0,2.0,6.343423946872072,1.4234615384615386,1.8032975508039353,1.0,1.2776287290657256,1.1303224004971881,2.439585314123032,6.2095378123994305,1.2776287290657256,1.0333333333333332,1.1597468213475866,1.746816837978285,3.57878491661483,0.5870700166306984,7.903897259757054,0.04494411892361111,0.045265760995370365,0.03226128472222222,0.00019910545818159104,0.014110473350727503,0.007282265074784256,-0.49748260961639357,0.00019910545818159104,0.027182074652777777,0.03510660807291667,0.05551242404513889,0.06428537326388889,0.02040581597222222,6.5691830065809285,1.0,0.068,1
highway_6,3.0,3.396,3,1.7858506666666665,1.336357237667633,-0.11887099570691055,-0.8580816200850276,1.7858506666666665,2.0,2.0,4.0,5.0,2.0,6.535617637433677,0.008984375,0.010604929836436112,0.005078125,3.53085309014548e-05,0.0059420981901559655,1.0754489205130067,1.1579184247465006,3.53085309014548e-05,0.0043713107638888886,0.0057823350694444445,0.014254557291666668,0.0190546875,0.008472222222222223,7.6970783534250105,3.0,2.5893333333333333,2,1.3780195555555552,1.1738907766719846,0.3241201575086081,-0.40849913307495855,1.3780195555555552,1.0,2.0,3.0,4.0,1.0,6.510917904368464,2.0688370457741687,2.4398998313392912,1.7540983606557379,0.8161472578238756,0.9034086881494309,1.0886790163191284,0.7398772601541488,0.8161472578238756,1.5677512106871407,1.7314072522405854,3.037234669244234,3.7949362466776044,1.3058274170036486,7.671273218593917,0.03441351996527778,0.03511525896990741,0.012666015625,0.00026938319791285927,0.016412897304036826,0.23382578181514657,-0.8120635020064091,0.00026938319791285927,0.013033420138888889,0.021930881076388888,0.047526855468750004,0.057945638020833336,0.025595974392361116,6.505272250745456,0.9986666666666667,0.10533333333333333,1
highway_7,3.0,2.9066666666666667,3,1.5699555555555555,1.2529786732245507,0.7742621789109242,0.8953668825068468,1.5699555555555555,1.0,2.0,3.0,4.0,1.0,6.527712112764463,0.008907877604166666,0.010775562344705657,0.003984375,4.172816391133866e-05,0.006459734043390538,1.4646224675638873,3.5602783320629845,4.172816391133866e-05,0.004432942708333334,0.005690104166666667,0.014481879340277778,0.019532552083333335,0.00879177517361111,7.526881665928423,2.0,2.3786666666666667,3,1.2139448888888886,1.1017916721816736,0.2282807988118812,-0.16223455987950786,1.2139448888888886,1.0,2.0,3.0,4.0,1.0,6.500372084657589,2.070122377987962,2.462118667334757,1.6666666666666667,1.048962665471649,1.0241887840977606,1.6986175831969248,2.6749482819361887,1.048962665471649,1.6086693944353518,1.7967675886143932,2.8251633986928106,3.99942020942021,1.0283958100784174,7.503101270411893,0.027594943576388888,0.03054556423611111,0.0,0.0002754270679137179,0.016595995538494154,0.9616155469108449,0.8512319295779718,0.0002754270679137179,0.013156575520833335,0.01792697482638889,0.03949978298611111,0.05435872395833334,0.021572808159722217,6.4772804484329445,0.996,0.09333333333333334,1
highway_8,2.0,2.3653333333333335,2,1.3438648888888889,1.1592518660277795,0.1461584032426672,-0.7482512761833888,1.3438648888888889,1.0,1.0,3.0,4.0,2.0,6.485840881176626,0.009059244791666667,0.010701222152738634,0.0048828125,3.571314379140515e-05,0.005976047505785505,0.9010568254161329,0.07692437310798361,3.571314379140515e-05,0.004454427083333333,0.00567138671875,0.014583062065972222,0.019730034722222227,0.00891167534722222,7.334291068069444,2.0,2.096,2,1.366784,1.1690953767764203,0.11357492636717169,-0.7139061532568358,1.366784,1.0,1.0,3.0,4.0,2.0,6.432601396725373,2.2315549146839704,2.795320709091841,3.2613207547169814,1.6963336897898253,1.3024337563921726,1.6223448438735988,2.6068442049843483,1.6963336897898253,1.7362927779807578,1.896050088782081,3.409924449539936,4.790393777478094,1.513874360757855,7.271154650937469,0.02119194878472222,0.0246655787037037,0.0,0.00025149559720701785,0.015858612713822665,0.8551422474320766,0.4417981297384821,0.00025149559720701785,0.0065143229166666665,0.013478190104166668,0.03351264105902778,0.04788628472222222,0.02003445095486111,6.41144324781522,0.972,0.08,1
highway_9,3.0,3.3826666666666667,3,1.7188995555555557,1.3110680972228543,0.23133473276617098,0.10824559404679235,1.7188995555555557,2.0,3.0,4.0,5.0,1.0,6.540415063551943,0.008792317708333334,0.01054161944882407,0.003879123263888889,4.5357071617561626e-05,0.006734765891815515,3.4204212601342645,29.982119039068557,4.5357071617561626e-05,0.004369791666666667,0.005615234375,0.01421875,0.01902799479166667,0.008603515625,7.674891142135625,3.0,2.8533333333333335,2,2.082488888888889,1.4430831191892202,0.5499736785330099,-0.043786055272305724,2.082488888888889,1.0,2.0,4.0,5.0,2.0,6.485986289876189,2.249048098666343,2.6644516821527207,1.8173076923076925,1.1050856209309559,1.0512305270162943,1.7490022215501617,3.4435931829927346,1.1050856209309559,1.801928103477902,1.9799846228417657,3.0808896617167294,4.271974730695661,1.1009050388749637,7.658454796259315,0.03288736979166666,0.034775892650462964,0.0,0.0003089676790221017,0.0175774764691096,1.2676663423091028,4.358118427480406,0.0003089676790221017,0.014904079861111112,0.022718370225694444,0.044667968749999995,0.05537250434027778,0.02194959852430555,6.4957715568194185,0.9973333333333333,0.112,1
