video_name,model,gpu time,frame rate,f1
highway_0,faster_rcnn_resnet101,0.3635773127731574,0.36357731277315736,0.8970355284000906
highway_1,faster_rcnn_resnet101,0.3798132389105325,0.3798132389105325,0.900897848551584
highway_2,faster_rcnn_resnet101,0.36591005655966374,0.3659100565596637,0.898368456832087
highway_3,faster_rcnn_resnet101,0.28833778540291943,0.28833778540291943,0.902177068214804
highway_4,faster_rcnn_resnet101,0.2497207030461857,0.24972070304618568,0.899862244357317
highway_5,faster_rcnn_resnet101,0.26650974783692194,0.26650974783692194,0.8954504368785778
highway_6,faster_rcnn_resnet101,0.39308203706600897,0.3930820370660089,0.9033018867924528
highway_7,faster_rcnn_resnet101,0.3760388819576687,0.3760388819576687,0.9028859367842419
highway_8,faster_rcnn_resnet101,0.4082348165200434,0.40823481652004345,0.9049773755656109
highway_9,faster_rcnn_resnet101,0.38990731961165553,0.38990731961165553,0.9057125914212295
highway_10,faster_rcnn_resnet101,0.4020199815040015,0.4020199815040014,0.9003567181926279
highway_11,faster_rcnn_resnet101,0.3924284582587873,0.3924284582587873,0.8969487622337362
highway_12,faster_rcnn_resnet101,0.3989841007812046,0.3989841007812046,0.8996935648621043
highway_13,faster_rcnn_resnet101,0.3927549699700452,0.3927549699700452,0.9070252724321818
highway_14,faster_rcnn_resnet101,0.3540823970037454,0.3540823970037454,0.9004908522980812
highway_15,faster_rcnn_resnet101,0.30998928605067333,0.30998928605067333,0.8999132697311363
highway_16,faster_rcnn_resnet101,0.3455623721881392,0.3455623721881392,0.8971085242208036
highway_17,faster_rcnn_resnet101,0.342204380164863,0.342204380164863,0.8984890402213237
highway_18,faster_rcnn_resnet101,0.3641119201261447,0.36411192012614463,0.9012089810017271
highway_19,faster_rcnn_resnet101,0.37274072528001484,0.37274072528001484,0.9060865927630202
highway_20,faster_rcnn_resnet101,0.3622273072874023,0.3622273072874023,0.8919680601221232
highway_21,faster_rcnn_resnet101,0.3880801922039382,0.3880801922039382,0.8943367540858989
highway_22,faster_rcnn_resnet101,0.40439211533440333,0.4043921153344033,0.8969839404622014
highway_23,faster_rcnn_resnet101,0.42764921956936264,0.42764921956936264,0.9061954624781849
highway_24,faster_rcnn_resnet101,0.4050501732847078,0.4050501732847078,0.892191142191142
highway_25,faster_rcnn_resnet101,0.4151810648650625,0.41518106486506257,0.896814404432133
highway_26,faster_rcnn_resnet101,0.39466302844791723,0.3946630284479173,0.9103671706263499
highway_27,faster_rcnn_resnet101,0.3787376462381826,0.3787376462381826,0.8969072164948453
highway_28,faster_rcnn_resnet101,0.34966728160371735,0.3496672816037173,0.896503168270359
highway_29,faster_rcnn_resnet101,0.35001722014899,0.35001722014899,0.9012609117361784
highway_30,faster_rcnn_resnet101,0.3677721731820094,0.3677721731820094,0.9062328641930179
highway_31,faster_rcnn_resnet101,0.36523056125769787,0.3652305612576978,0.8995443697114341
highway_32,faster_rcnn_resnet101,0.37946065881223917,0.37946065881223917,0.9016100178890877
highway_33,faster_rcnn_resnet101,0.3484519172103066,0.3484519172103066,0.9005376344086022
highway_34,faster_rcnn_resnet101,0.3755935954725652,0.3755935954725652,0.8979077388454751
highway_35,faster_rcnn_resnet101,0.352895184188464,0.352895184188464,0.9008163974292166
highway_36,faster_rcnn_resnet101,0.3739433979945647,0.3739433979945648,0.8988259668508288
highway_37,faster_rcnn_resnet101,0.345931684334511,0.345931684334511,0.8994392523364486
highway_38,faster_rcnn_resnet101,0.33311007125910275,0.3331100712591028,0.9052673743240537
highway_39,faster_rcnn_resnet101,0.38278969654542094,0.38278969654542094,0.8996971316586495
highway_40,faster_rcnn_resnet101,0.3865048543689321,0.38650485436893206,0.9022457067371201
highway_41,faster_rcnn_resnet101,0.33088330179344694,0.33088330179344694,0.9023932426091036
highway_42,faster_rcnn_resnet101,0.360507371030715,0.36050737103071495,0.899
highway_43,faster_rcnn_resnet101,0.3547343488249268,0.3547343488249268,0.9042107855208077
highway_44,faster_rcnn_resnet101,0.35013205280422055,0.35013205280422055,0.9035886448848421
highway_45,faster_rcnn_resnet101,0.37027747663901867,0.3702774766390186,0.8998899889988999
highway_46,faster_rcnn_resnet101,0.36596924140314513,0.36596924140314513,0.8996735582154516
highway_47,faster_rcnn_resnet101,0.3325263310889376,0.3325263310889376,0.9010351966873706
highway_48,faster_rcnn_resnet101,0.36539674314780285,0.36539674314780285,0.9029503105590062
highway_49,faster_rcnn_resnet101,0.33457478075996844,0.33457478075996844,0.9026666666666666
highway_50,faster_rcnn_resnet101,0.3305378559983663,0.33053785599836627,0.9020628880432606
highway_51,faster_rcnn_resnet101,0.3435716025922136,0.3435716025922136,0.9041429731925263
highway_52,faster_rcnn_resnet101,0.3601401861378886,0.3601401861378886,0.8964497041420119
highway_53,faster_rcnn_resnet101,0.3515055840912305,0.3515055840912305,0.8994224258115914
highway_54,faster_rcnn_resnet101,0.3701452858010236,0.3701452858010236,0.8978774529435323
highway_55,faster_rcnn_resnet101,0.37188285006955507,0.3718828500695551,0.8973558192796169
highway_56,faster_rcnn_resnet101,0.3461891679871485,0.3461891679871485,0.9039145907473309
highway_57,faster_rcnn_resnet101,0.3500649516578187,0.3500649516578187,0.8993646238983398
highway_58,faster_rcnn_resnet101,0.3440605102122947,0.3440605102122947,0.9000191901746306
highway_59,faster_rcnn_resnet101,0.39099181726894955,0.39099181726894955,0.9072775440236871
highway_60,faster_rcnn_resnet101,0.39272348863844947,0.3927234886384495,0.8973204715969989
highway_61,faster_rcnn_resnet101,0.33357973892456955,0.33357973892456955,0.9017620082066136
