object size,360p,480p,540p,720p
0.0,0.5455502766105245,0.7188170650988461,0.7603984515610648,1.0
0.004,0.8022056341198096,0.903350705833131,0.9132379358210174,1.0
0.008,0.9209049115736518,0.9580547317233006,0.9625832467770513,1.0
0.012,0.9377111073973209,0.9635985041053533,0.9698216132308339,1.0
0.016,0.9298679395125306,0.9632518627116261,0.9679807796437495,1.0
0.02,0.927329856092503,0.9573366489134669,0.9634175036223359,1.0
0.024,0.9246656657006181,0.9542895396340416,0.960180739903982,1.0
0.028,0.9273175451529673,0.9560920193126953,0.9607894230006684,1.0
0.032,0.9201736763657572,0.9508380600344146,0.9617417409841441,1.0
0.036000000000000004,0.9218413496051687,0.9602246139447823,0.9657834707843482,1.0
0.04,0.9069394946542265,0.9460639127045987,0.9523166544500598,1.0
0.044,0.9019179642992785,0.9605382796872158,0.9671705189904879,1.0
0.048,0.9233181168441924,0.9707495835646863,0.972873867903689,1.0
0.052000000000000005,0.9251491244949009,0.9702702702702704,0.9750216688992198,1.0
0.056,0.9220598889157209,0.9704377980060684,0.9749383494867236,1.0
0.06,0.9275196750444276,0.9634097553469765,0.9754349740381988,1.0
0.064,0.9209913315767365,0.9675145909040855,0.9726421623984554,1.0
0.068,0.9255267025967663,0.9668602125054312,0.9724308805600347,1.0
0.07200000000000001,0.8962911491357596,0.9636393415772665,0.9721047495120364,1.0
0.076,0.9049118073252386,0.9624862958196292,0.964038989306331,1.0
0.08,0.9335825690752965,0.9689851767388825,0.9718588981371383,1.0
0.084,0.9105490438001232,0.9612186522982771,0.9747026742887179,1.0
0.088,0.928164041281912,0.9697691340874512,0.9786061162882268,1.0
0.092,0.9267639178326882,0.9697498545666084,0.9752568369266388,1.0
0.096,0.9145572354211664,0.962201647838274,0.9727954181756928,1.0
0.1,0.9163275434243177,0.9569808369182636,0.9692680562287931,1.0
0.10400000000000001,0.9213069489185458,0.9575536284801461,0.9657751586582048,1.0
0.108,0.9260875314028826,0.9540184968086493,0.9648851019881228,1.0
0.112,0.9229716787522234,0.9550013553808621,0.9639748225525646,1.0
0.116,0.9376777863977245,0.9669127004326801,0.9744303797468354,1.0
0.12,0.9316037735849056,0.9604536202384414,0.9654170299331589,1.0
0.124,0.9255745308876238,0.949215524360033,0.955748552522746,1.0
0.128,0.9346448087431694,0.9511302475780409,0.9572318934021061,1.0
0.132,0.942299878098334,0.9529458283906683,0.9539499801508535,1.0
0.136,0.9176213857064921,0.921025641025641,0.9323972958918356,1.0
0.14,0.8855524079320113,0.8723348249539352,0.9010930418555052,1.0
0.14400000000000002,0.8369127516778523,0.8454573837027786,0.8728501228501229,1.0
0.148,0.8265107212475633,0.8552486187845304,0.8623585250091275,1.0
0.152,0.871563088512241,0.8855077976416889,0.8995502248875562,1.0
0.156,0.91156462585034,0.9386529386529386,0.931150293870697,1.0
0.16,0.8988910632746248,0.9351316634553629,0.9321382842509603,1.0
0.164,0.8736654804270463,0.9206896551724137,0.934931506849315,1.0
0.168,0.8745684695051784,0.9172113289760347,0.9298813376483279,1.0
0.17200000000000001,0.8176638176638178,0.8994845360824741,0.9119170984455959,1.0
0.176,0.8012422360248447,0.8633720930232558,0.9213483146067416,1.0
0.18,0.7563636363636365,0.8241206030150754,0.8938906752411576,1.0
0.184,0.7352941176470589,0.8504201680672269,0.9189189189189189,1.0
0.188,0.8064516129032259,0.8952380952380952,0.9182156133828996,1.0
0.192,0.9184952978056427,0.9456193353474319,0.9542682926829269,1.0
0.196,0.9355168884339815,0.9583756345177664,0.9698189134808853,1.0
