Video_name,object count median,object count avg,object count mode,object count var,object count std,object count skewness,object count kurtosis,object count second_moment,object count percentile10,object count percentile25,object count percentile75,object count percentile90,object count iqr,object count entropy,object area median,object area avg,object area mode,object area var,object area std,object area skewness,object area kurtosis,object area second_moment,object area percentile10,object area percentile25,object area percentile75,object area percentile90,object area iqr,object area entropy,arrival rate median,arrival rate avg,arrival rate mode,arrival rate var,arrival rate std,arrival rate skewness,arrival rate kurtosis,arrival rate second_moment,arrival rate percentile10,arrival rate percentile25,arrival rate percentile75,arrival rate percentile90,arrival rate iqr,arrival rate entropy,velocity median,velocity avg,velocity mode,velocity var,velocity std,velocity skewness,velocity kurtosis,velocity second_moment,velocity percentile10,velocity percentile25,velocity percentile75,velocity percentile90,velocity iqr,velocity entropy,total area median,total area avg,total area mode,total area var,total area std,total area skewness,total area kurtosis,total area second_moment,total area percentile10,total area percentile25,total area percentile75,total area percentile90,total area iqr,total area entropy,percent_of_frame_w_object,percent_of_frame_w_new_object,nb_distinct_classes,avg confidence score
highway_19,4.0,3.7373333333333334,4,1.953672888888889,1.3977384908804968,-0.4544765994597727,-0.1784944401276749,1.953672888888889,2.0,3.0,5.0,5.0,2.0,6.5360589373680344,0.009440104166666666,0.013576951746888255,0.0037239583333333335,0.00027774887053952087,0.016665799426955816,5.3155434707330205,34.081238069896266,0.00027774887053952087,0.0044453125,0.00587890625,0.015505642361111112,0.021925130208333348,0.009626736111111112,7.55522187823877,3.0,2.628,2,1.5589493333333333,1.248578925552299,0.08798809694377183,-0.09066427572346658,1.5589493333333333,1.0,2.0,3.75,4.0,1.75,6.486351360924045,2.0302721088435374,2.3123559681113064,1.784375,0.9602850657482855,0.9799413583211424,1.753680396608839,4.072668082344135,0.9602850657482855,1.3611577440433162,1.7146982194992728,2.600872489155389,3.7008768752671193,0.8861742696561161,7.771211823353495,0.04350423177083333,0.04913555844907408,0.0,0.0010997493311250077,0.03316246871276334,1.445991658432721,2.5203994007912947,0.0010997493311250077,0.016147135416666666,0.02655137803819444,0.061288519965277774,0.08658409288194444,0.03473714192708333,6.409598350324261,0.9826666666666667,0.09866666666666667,3,0.8313630780556547
highway_20,4.0,3.6773333333333333,3,1.6398862222222221,1.2805804239571297,0.45063545284553236,0.3236905433744184,1.6398862222222221,2.0,3.0,4.0,5.0,1.0,6.55849530664625,0.009753689236111111,0.014604617690456045,0.004296875,0.00024607541241984616,0.015686791017280946,3.257585156339071,11.990926942097952,0.00024607541241984616,0.0045073784722222225,0.00594482421875,0.016465386284722223,0.026519314236111112,0.010520562065972223,7.554217565354887,3.0,2.8613333333333335,1,3.4287715555555565,1.8516942392186557,1.1003824917380245,1.1276963522990826,3.4287715555555565,1.0,1.0,4.0,5.0,3.0,6.4188750021148735,2.030185758513932,2.3332987048619707,2.033333333333333,1.2017922483438228,1.0962628554976324,2.206679661650637,6.304866636799806,1.2017922483438228,1.3495192425864206,1.7148315028461587,2.4773531223147875,3.86045123503947,0.7625216194686288,7.72319134614545,0.044206814236111114,0.05130927083333334,0.027451171875,0.00094740030774398,0.030779868546567574,0.820094666797072,-0.22064379267730372,0.00094740030774398,0.018495985243055554,0.026890462239583333,0.06878933376736111,0.10288161892361113,0.041898871527777784,6.4463206948400495,0.9986666666666667,0.11333333333333333,2,0.8368465229985498
highway_21,5.0,4.652,5,1.7282293333333334,1.314621365007177,0.053880890409900586,-0.3277891943854354,1.7282293333333334,3.0,4.0,5.75,6.0,1.75,6.5787892686871325,0.010009765625,0.015217058050499985,0.003949652777777778,0.0003250923959905651,0.018030318798916593,3.6402487960491574,14.808158462916499,0.0003250923959905651,0.004678819444444445,0.006106770833333333,0.016307508680555555,0.02504774305555557,0.01020073784722222,7.744978135092776,4.0,3.792,4,2.5914026666666667,1.6097834222859504,0.6678579307696333,0.5700336065133955,2.5914026666666667,2.0,3.0,5.0,6.0,2.0,6.530095262010967,2.147801214670814,2.3367772718154756,4.0,0.8503684831522665,0.9221542621233535,1.3103250403952698,2.328887027500131,0.8503684831522665,1.2884659370772638,1.7286795289224313,2.7049044464568257,3.651549679815654,0.9762249175343944,7.982071911559645,0.05699652777777778,0.06777316695601852,0.028922526041666667,0.0017103606164412235,0.04135650633747033,1.5169605790354683,2.7088864125861862,0.0017103606164412235,0.028104383680555553,0.03876491970486111,0.08642252604166667,0.12736903211805556,0.04765760633680556,6.455633384933585,1.0,0.14266666666666666,3,0.8246723523703066
highway_22,4.0,3.9186666666666667,4,1.8453848888888884,1.3584494428902714,0.06441463623093062,-0.33860184944692273,1.8453848888888884,2.0,3.0,5.0,6.0,2.0,6.556432142422392,0.009055989583333333,0.012135548839127066,0.0034559461805555554,0.00013730199077059246,0.011717593215784224,5.728768612031011,50.31072639602982,0.00013730199077059246,0.004405381944444444,0.005702039930555555,0.015407986111111112,0.021279730902777783,0.009705946180555557,7.712378054573094,3.0,3.4133333333333336,3,1.6718222222222223,1.29298964505607,0.27278162306131326,0.1445013036435614,1.6718222222222223,2.0,3.0,4.0,5.0,1.0,6.544884690326058,2.33454352647473,2.5863257378060864,1.7444444444444445,0.9285204702946424,0.9635976703451717,1.7789284648622479,4.942582425476804,0.9285204702946424,1.6973011438554853,1.9616659632091733,2.9485121340523888,3.873852827359672,0.9868461708432155,7.808953692340889,0.0437744140625,0.046312987557870375,0.03881401909722222,0.0006152964265378703,0.024805169351122567,1.436248514276378,4.215986291487577,0.0006152964265378703,0.018166449652777777,0.029519856770833335,0.05730902777777778,0.07480230034722224,0.027789171006944443,6.485229547069871,0.9986666666666667,0.13333333333333333,3,0.8165804667982306
highway_23,4.0,3.533333333333333,4,1.512888888888889,1.2299954832798732,-0.012355985618441364,-0.5605563924932446,1.512888888888889,2.0,3.0,4.0,5.0,1.0,6.555737678770207,0.009580620659722223,0.013516934863076521,0.003949652777777778,0.00021478824232909772,0.014655655643098937,4.381651649105132,23.815646945725337,0.00021478824232909772,0.00451171875,0.005941026475694444,0.015868055555555555,0.022922526041666665,0.009927029079861111,7.541436207048452,3.0,3.1426666666666665,3,2.1463128888888883,1.4650299959007285,0.7445399574386706,1.1244919078441127,2.1463128888888883,2.0,2.0,4.0,5.0,2.0,6.5074220353609595,2.504989439502902,2.7357451026832598,2.1293103448275863,1.0169760761110798,1.0084523172223265,1.0588838708025181,1.468889874452163,1.0169760761110798,1.559866205467983,2.0879881083247143,3.236840566656396,4.203253547922666,1.1488524583316817,7.7008151494406345,0.03860026041666667,0.04643633391203703,0.03100151909722222,0.0008888766618225015,0.02981403464515498,1.5009700484961128,2.1032952657720836,0.0008888766618225015,0.01627213541666667,0.026480577256944443,0.05580539279513889,0.09094346788194445,0.029324815538194444,6.439678737526862,1.0,0.11866666666666667,3,0.8199280696
highway_24,2.0,2.5653333333333332,2,1.4857315555555555,1.218905884617658,0.0799854894415568,-0.22452585269741743,1.4857315555555555,1.0,2.0,3.0,4.0,1.0,6.4858502147712365,0.009059244791666667,0.0126297599808342,0.004453125,0.0001780890894124052,0.013345002413353292,4.610213937130801,27.535951816310774,0.0001780890894124052,0.004318793402777778,0.005619845920138888,0.0151220703125,0.020887695312500003,0.009502224392361112,7.237648290229222,2.0,2.1026666666666665,2,1.310792888888889,1.1448986369495289,-0.0414064507131164,-0.6999805015475475,1.310792888888889,1.0,1.0,3.0,4.0,2.0,6.433971559294944,2.393241157769003,2.86898985533566,2.149122807017544,1.9826743324153504,1.4080746899278285,1.8703353530035107,3.859893948400569,1.9826743324153504,1.6650855463869987,2.010885984023239,3.1797416227757584,4.813464321005082,1.1688556387525195,7.351083546156015,0.026631944444444444,0.031788903356481484,0.0,0.000532052549649253,0.023066264319331228,1.4815215594771005,3.033818353881899,0.000532052549649253,0.005929036458333334,0.018262803819444444,0.04125786675347222,0.05849338107638889,0.022995062934027775,6.369498578654634,0.9506666666666667,0.08533333333333333,3,0.8168425348388775
highway_25,3.0,3.288,4,1.9757226666666665,1.405604022001455,-0.02121371258459382,-0.5077603331542933,1.9757226666666665,2.0,2.0,4.0,5.0,2.0,6.516449747662426,0.01105523003472222,0.01932922687790056,0.003879123263888889,0.0005831794830730156,0.024149109363970665,2.938361345539543,9.070952931451446,0.0005831794830730156,0.004945746527777777,0.006608072916666667,0.01900390625,0.04389702690972222,0.012395833333333335,7.320251118555804,3.0,2.96,2,3.3823999999999996,1.8391302292116238,0.8523114899777187,1.144512995760122,3.3823999999999996,1.0,2.0,4.0,5.0,2.0,6.415460942500623,2.0938799762329174,2.3847779643185514,1.338095238095238,1.6623555956243627,1.2893236969917068,1.7482427347973661,3.6045420751688884,1.6623555956243627,1.23315916829215,1.3676820829809166,2.7865110565110562,4.195323302604393,1.4188289735301396,7.569734361160644,0.04778645833333334,0.061726642071759256,0.0,0.001833944809284864,0.04282458183432576,0.9455376982910378,0.06880783001864366,0.001833944809284864,0.017544270833333337,0.03001491970486111,0.09065049913194445,0.12655631510416668,0.060635579427083336,6.387944140224635,0.9813333333333333,0.11866666666666667,3,0.823800462944039
highway_26,3.0,2.8466666666666667,3,1.564488888888889,1.2507953025530951,0.07048890577055521,0.46921992869301965,1.564488888888889,1.0,2.0,4.0,4.0,2.0,6.506285361158164,0.009114583333333334,0.011765064423139474,0.0037380642361111113,0.00011176664062841009,0.01057197430135025,5.039191824314595,37.93870829408086,0.00011176664062841009,0.004453125,0.005697699652777778,0.014736870659722222,0.02046657986111111,0.009039171006944444,7.4156852073217445,2.0,2.2933333333333334,2,1.8366222222222222,1.3552203592856116,0.46759865881819107,0.031403520904579096,1.8366222222222222,1.0,1.0,3.0,4.0,2.0,6.422383356629631,2.257326258435569,2.704676162812751,10.0,1.9631107581397305,1.4011105445823075,2.329002436783576,6.117255649579031,1.9631107581397305,1.6419450549450547,1.8952958941512648,2.856273832501648,4.626178169656431,0.9609779383503831,7.454579113757708,0.030690104166666666,0.03283884982638889,0.0,0.0004926154513959657,0.022194942022811543,1.6307370401402321,4.696368715158608,0.0004926154513959657,0.009174696180555554,0.01746554904513889,0.04194769965277778,0.05712272135416667,0.02448215060763889,6.40336511771318,0.9653333333333334,0.08933333333333333,2,0.8304689858126463
highway_27,3.0,3.3106666666666666,3,1.8781528888888888,1.3704571824354415,0.2557354094027535,-0.4066972053461342,1.8781528888888888,1.0,2.0,4.0,5.0,2.0,6.53051134220053,0.009982638888888888,0.015083337965526694,0.004279513888888889,0.0002972589523490584,0.01724119927235511,3.4117211241061196,12.780458542518787,0.0002972589523490584,0.004559244791666667,0.006015625,0.016278211805555554,0.02628211805555558,0.010262586805555553,7.418932969943688,2.0,2.3746666666666667,2,1.6156248888888889,1.2710723381809899,0.21918370371823193,-0.6810716863158359,1.6156248888888889,1.0,1.0,3.0,4.0,2.0,6.4567544762169256,2.13150253969727,2.446463646583912,10.0,1.6624436414143187,1.2893578407154154,2.339412656872727,6.525357709268162,1.6624436414143187,1.285191893564896,1.7528645833333334,2.5885838018190954,4.073172412974637,0.835719218485762,7.608613870086447,0.04388237847222222,0.04854343605324075,0.02621527777777778,0.0008744866707204414,0.029571720794036343,0.9858332067386039,0.8269421900274208,0.0008744866707204414,0.0155087890625,0.02659695095486111,0.062190212673611106,0.09148806423611111,0.03559326171874999,6.440805448880397,1.0,0.09466666666666666,3,0.8244529443374949
highway_28,4.0,3.636,3,2.2661706666666666,1.5053805720370734,0.33736011080353157,-0.5482077258036049,2.2661706666666666,2.0,2.0,5.0,6.0,3.0,6.532254873508326,0.009548611111111112,0.014959673774090371,0.004921875,0.00032259588264117495,0.017960954391155692,3.9895495251397475,19.47500837600679,0.00032259588264117495,0.004557291666666667,0.0058892144097222225,0.016362847222222223,0.02693684895833337,0.010473632812500001,7.495212760955842,3.0,2.996,2,3.2733173333333325,1.8092311442525337,1.013692947962109,1.5075917797298954,3.2733173333333325,1.0,2.0,4.0,5.0,2.0,6.438044994907131,1.9465148362270628,2.282774147860872,10.0,1.4077750225872225,1.1864969543101334,2.5428115725771954,7.650894650870306,1.4077750225872225,1.3695748894974287,1.6444178199422956,2.2936663314997734,3.891896413456964,0.6492485115574778,7.694588570422596,0.04441840277777778,0.05195756076388888,0.027738715277777777,0.0011072249656837246,0.033274990092917,1.1534232881064295,1.1055928487328837,0.0011072249656837246,0.016686089409722223,0.027743055555555556,0.06766221788194446,0.10132497829861112,0.0399191623263889,6.429865633919076,1.0,0.11066666666666666,2,0.8285271146534654
