video_name,model,gpu time,frame rate,f1,temporal,spatial,bandwidth
highway_4,faster_rcnn_resnet101,0.16,0.16,0.865968854,4,NA,NA
highway_4,faster_rcnn_resnet101,0.12,0.12,0.840306423,3,NA,NA
highway_4,faster_rcnn_resnet101,0.1,0.1,0.814060896,2.5,NA,NA
highway_4,faster_rcnn_resnet101,0.08,0.08,0.783199931,2,NA,NA
highway_4,faster_rcnn_resnet101,0.072,0.072,0.760725793,1.8,NA,NA
highway_4,faster_rcnn_resnet101,0.06,0.06,0.722746638,1.5,NA,NA
highway_4,faster_rcnn_resnet101,0.048,0.048,0.68668584,1.2,NA,NA
highway_4,faster_rcnn_resnet101,0.04,0.04,0.642291286,1,NA,NA
highway_5,faster_rcnn_resnet101,0.04,0.04,0.395005371,1,NA,NA
highway_5,faster_rcnn_inception_v2,0.021886792,0.04,0.295214923,1,NA,NA
highway_5,ssd_mobilenet_v2,0.011698113,0.04,0.273142383,1,NA,NA
highway_5,faster_rcnn_resnet101,0.8,0.8,0.99304918,20,NA,NA
highway_5,faster_rcnn_resnet101,0.6,0.6,0.989013863,15,NA,NA
highway_5,faster_rcnn_resnet101,0.4,0.4,0.950630252,10,NA,NA
highway_5,faster_rcnn_resnet101,0.2,0.2,0.85669042,5,NA,NA
highway_5,faster_rcnn_resnet101,0.16,0.16,0.799367255,4,NA,NA
highway_5,faster_rcnn_resnet101,0.12,0.12,0.710137412,3,NA,NA
highway_5,faster_rcnn_resnet101,0.1,0.1,0.649742166,2.5,NA,NA
highway_5,faster_rcnn_resnet101,0.08,0.08,0.580456718,2,NA,NA
highway_5,faster_rcnn_resnet101,0.072,0.072,0.562242798,1.8,NA,NA
highway_5,faster_rcnn_resnet101,0.06,0.06,0.506033376,1.5,NA,NA
highway_5,faster_rcnn_resnet101,0.048,0.048,0.45730674,1.2,NA,NA
highway_5,faster_rcnn_resnet101,0.04,0.04,0.395005371,1,NA,NA
highway_6,faster_rcnn_resnet101,0.04,0.04,0.179640719,1,NA,NA
highway_6,faster_rcnn_inception_v2,0.021886792,0.04,0.161527166,1,NA,NA
highway_6,ssd_mobilenet_v2,0.011698113,0.04,0.107724804,1,NA,NA
highway_6,faster_rcnn_resnet101,0.8,0.8,0.989304813,20,NA,NA
highway_6,faster_rcnn_resnet101,0.6,0.6,0.980324256,15,NA,NA
highway_6,faster_rcnn_resnet101,0.4,0.4,0.917728488,10,NA,NA
highway_6,faster_rcnn_resnet101,0.2,0.2,0.677849193,5,NA,NA
highway_6,faster_rcnn_resnet101,0.16,0.16,0.56599588,4,NA,NA
highway_6,faster_rcnn_resnet101,0.12,0.12,0.448595197,3,NA,NA
highway_6,faster_rcnn_resnet101,0.1,0.1,0.390686045,2.5,NA,NA
highway_6,faster_rcnn_resnet101,0.08,0.08,0.317648948,2,NA,NA
highway_6,faster_rcnn_resnet101,0.072,0.072,0.291101761,1.8,NA,NA
highway_6,faster_rcnn_resnet101,0.06,0.06,0.261308117,1.5,NA,NA
highway_6,faster_rcnn_resnet101,0.048,0.048,0.200624025,1.2,NA,NA
highway_6,faster_rcnn_resnet101,0.04,0.04,0.179640719,1,NA,NA
highway_7,faster_rcnn_resnet101,0.04,0.04,0.158443642,1,NA,NA
highway_7,faster_rcnn_inception_v2,0.021886792,0.04,0.126444024,1,NA,NA
highway_7,ssd_mobilenet_v2,0.011698113,0.04,0.101237761,1,NA,NA
highway_7,faster_rcnn_resnet101,0.8,0.8,0.988718775,20,NA,NA
highway_7,faster_rcnn_resnet101,0.6,0.6,0.977634495,15,NA,NA
highway_7,faster_rcnn_resnet101,0.4,0.4,0.920072478,10,NA,NA
highway_7,faster_rcnn_resnet101,0.2,0.2,0.661436331,5,NA,NA
highway_7,faster_rcnn_resnet101,0.16,0.16,0.542776433,4,NA,NA
highway_7,faster_rcnn_resnet101,0.12,0.12,0.420164692,3,NA,NA
highway_7,faster_rcnn_resnet101,0.1,0.1,0.355483082,2.5,NA,NA
highway_7,faster_rcnn_resnet101,0.08,0.08,0.291717172,2,NA,NA
highway_7,faster_rcnn_resnet101,0.072,0.072,0.271926312,1.8,NA,NA
highway_7,faster_rcnn_resnet101,0.06,0.06,0.227587572,1.5,NA,NA
highway_7,faster_rcnn_resnet101,0.048,0.048,0.185185185,1.2,NA,NA
highway_7,faster_rcnn_resnet101,0.04,0.04,0.158443642,1,NA,NA
highway_8,faster_rcnn_resnet101,0.04,0.04,0.166841773,1,NA,NA
highway_8,faster_rcnn_inception_v2,0.021886792,0.04,0.145493562,1,NA,NA
highway_8,ssd_mobilenet_v2,0.011698113,0.04,0.079000403,1,NA,NA
highway_8,faster_rcnn_resnet101,0.8,0.8,0.986150713,20,NA,NA
highway_8,faster_rcnn_resnet101,0.6,0.6,0.97740688,15,NA,NA
highway_8,faster_rcnn_resnet101,0.4,0.4,0.908015501,10,NA,NA
highway_8,faster_rcnn_resnet101,0.2,0.2,0.656868749,5,NA,NA
highway_8,faster_rcnn_resnet101,0.16,0.16,0.567164179,4,NA,NA
highway_8,faster_rcnn_resnet101,0.12,0.12,0.451824518,3,NA,NA
highway_8,faster_rcnn_resnet101,0.1,0.1,0.396023534,2.5,NA,NA
highway_8,faster_rcnn_resnet101,0.08,0.08,0.328755893,2,NA,NA
highway_8,faster_rcnn_resnet101,0.072,0.072,0.295548228,1.8,NA,NA
highway_8,faster_rcnn_resnet101,0.06,0.06,0.244371674,1.5,NA,NA
highway_8,faster_rcnn_resnet101,0.048,0.048,0.204039992,1.2,NA,NA
highway_8,faster_rcnn_resnet101,0.04,0.04,0.166841773,1,NA,NA
highway_9,faster_rcnn_resnet101,0.04,0.04,0.155540721,1,NA,NA
highway_9,faster_rcnn_inception_v2,0.021886792,0.04,0.131220177,1,NA,NA
highway_9,ssd_mobilenet_v2,0.011698113,0.04,0.097138665,1,NA,NA
highway_9,faster_rcnn_resnet101,0.8,0.8,0.989697574,20,NA,NA
highway_9,faster_rcnn_resnet101,0.6,0.6,0.981269683,15,NA,NA
highway_9,faster_rcnn_resnet101,0.4,0.4,0.913810316,10,NA,NA
highway_9,faster_rcnn_resnet101,0.2,0.2,0.616766467,5,NA,NA
highway_9,faster_rcnn_resnet101,0.16,0.16,0.517647059,4,NA,NA
highway_9,faster_rcnn_resnet101,0.12,0.12,0.413204139,3,NA,NA
highway_9,faster_rcnn_resnet101,0.1,0.1,0.348324069,2.5,NA,NA
highway_9,faster_rcnn_resnet101,0.08,0.08,0.290376851,2,NA,NA
highway_9,faster_rcnn_resnet101,0.072,0.072,0.264470895,1.8,NA,NA
highway_9,faster_rcnn_resnet101,0.06,0.06,0.223592406,1.5,NA,NA
highway_9,faster_rcnn_resnet101,0.048,0.048,0.182537068,1.2,NA,NA
highway_9,faster_rcnn_resnet101,0.04,0.04,0.155540721,1,NA,NA
highway_10,faster_rcnn_resnet101,0.04,0.04,0.163375224,1,NA,NA
highway_10,faster_rcnn_inception_v2,0.021886792,0.04,0.127994149,1,NA,NA
highway_10,ssd_mobilenet_v2,0.011698113,0.04,0.109556057,1,NA,NA
highway_10,faster_rcnn_resnet101,0.8,0.8,0.991288889,20,NA,NA
highway_10,faster_rcnn_resnet101,0.6,0.6,0.982418753,15,NA,NA
highway_10,faster_rcnn_resnet101,0.4,0.4,0.915555556,10,NA,NA
highway_10,faster_rcnn_resnet101,0.2,0.2,0.640571939,5,NA,NA
highway_10,faster_rcnn_resnet101,0.16,0.16,0.553349876,4,NA,NA
highway_10,faster_rcnn_resnet101,0.12,0.12,0.436305732,3,NA,NA
highway_10,faster_rcnn_resnet101,0.1,0.1,0.374820144,2.5,NA,NA
highway_10,faster_rcnn_resnet101,0.08,0.08,0.309819213,2,NA,NA
highway_10,faster_rcnn_resnet101,0.072,0.072,0.278192814,1.8,NA,NA
highway_10,faster_rcnn_resnet101,0.06,0.06,0.232235085,1.5,NA,NA
highway_10,faster_rcnn_resnet101,0.048,0.048,0.186519258,1.2,NA,NA
highway_10,faster_rcnn_resnet101,0.04,0.04,0.163375224,1,NA,NA
highway_11,faster_rcnn_resnet101,0.04,0.04,0.139534884,1,NA,NA
highway_11,faster_rcnn_inception_v2,0.021886792,0.04,0.124126172,1,NA,NA
highway_11,ssd_mobilenet_v2,0.011698113,0.04,0.11534439,1,NA,NA
highway_11,faster_rcnn_resnet101,0.8,0.8,0.987699468,20,NA,NA
highway_11,faster_rcnn_resnet101,0.6,0.6,0.980900183,15,NA,NA
highway_11,faster_rcnn_resnet101,0.4,0.4,0.909725686,10,NA,NA
