crossroad3_0,2.5725100790057915
crossroad3_1,2.3126218940382586
crossroad3_2,2.3424015721198614
crossroad3_3,1.5758590308370035
crossroad3_4,2.554689103221836
crossroad3_5,1.7679889602140673
crossroad3_6,1.9523581050348877
crossroad3_7,2.2209868561915656
crossroad3_8,2.5559843065182513
crossroad3_9,2.8675397707170838
crossroad3_10,2.591961641456802
crossroad3_11,2.504311145657894
crossroad3_12,2.2036324786324784
crossroad3_13,2.9446224315306253
crossroad3_14,2.056339738386079
crossroad3_15,2.246969445518559
crossroad3_16,1.7155530359594025
crossroad3_17,1.7972347042312915
crossroad3_18,3.2943460790667487
crossroad3_19,2.437970738973217
crossroad3_20,2.068391503924822
crossroad3_21,4.046721143724348
crossroad3_22,3.2865510279089136
crossroad3_23,2.801479090952002
crossroad3_24,3.8099375963672983
crossroad3_25,2.662749136278606
crossroad3_26,2.7044427663457284
crossroad3_27,2.963856552914349
crossroad3_28,1.5624764883449735
crossroad3_29,2.5028031472899226
crossroad3_30,2.0608340102700993
crossroad3_31,2.4117256453410825
crossroad3_32,1.5
crossroad3_33,2.283409644241125
crossroad3_34,1.8711712270259842
crossroad3_35,1.7304544359099534
crossroad3_36,1.7488880255730042
crossroad3_37,2.066853932584273
crossroad3_38,1.709543315324762
crossroad3_39,2.2927866689838226
